photos,price_reduced_amount,description.sold_price,description.sqft,description.baths,description.garage,description.stories,description.beds,products.brand_name,description.type_townhomes,days_listed,n_amenities,n_high_amenities,age_yrs,n_rooms
1,25000.0,655000.0,3356.0,3.0,2.0,2.0,4.0,1,0,141,9.0,6.0,55,7.0
1,50000.0,1180000.0,2000.0,2.0,2.0,2.0,2.0,2,0,111,10.0,6.0,18,4.0
1,5000.0,235000.0,1374.0,2.0,0.0,1.0,4.0,1,0,160,3.0,2.0,42,6.0
1,0.0,69750.0,650.0,1.0,0.0,10.0,1.0,1,0,17,10.0,3.0,59,2.0
1,400.0,202000.0,1379.0,2.0,1.0,2.0,2.0,1,1,92,7.0,4.0,149,4.0
1,4900.0,225000.0,1167.0,2.0,1.0,1.0,3.0,1,0,450,6.0,3.0,107,5.0
1,9000.0,345000.0,3238.0,3.0,0.0,1.0,6.0,1,0,104,1.0,0.0,124,9.0
1,5000.0,259900.0,1684.0,3.0,0.0,1.0,4.0,1,0,278,5.0,3.0,101,7.0
1,10000.0,230000.0,1102.0,1.0,2.0,1.0,2.0,1,0,82,8.0,4.0,144,3.0
1,0.0,350000.0,3006.0,2.0,0.0,1.0,6.0,1,0,81,4.0,0.0,67,8.0
1,0.0,282000.0,2654.0,2.0,2.0,1.0,4.0,1,0,34,2.0,0.0,97,6.0
1,24000.0,542500.0,5553.0,6.0,0.0,1.0,12.0,1,0,212,5.0,1.0,124,18.0
1,0.0,450000.0,3834.0,3.0,3.0,1.0,7.0,1,0,182,6.0,0.0,95,10.0
1,0.0,215000.0,1540.0,1.0,1.0,1.0,4.0,2,0,217,3.0,1.0,74,5.0
1,0.0,362500.0,4592.0,2.0,0.0,1.0,8.0,1,0,76,6.0,2.0,114,10.0
1,20000.0,227000.0,4512.0,0.0,0.0,1.0,0.0,3,0,129,3.0,0.0,144,0.0
1,0.0,425000.0,3642.0,3.0,0.0,1.0,5.0,1,0,56,6.0,4.0,99,8.0
1,0.0,265000.0,1810.0,2.0,0.0,1.0,3.0,1,0,38,5.0,1.0,73,5.0
1,0.0,305000.0,1984.0,2.0,0.0,1.0,4.0,1,0,54,5.0,3.0,74,6.0
1,3000.0,60000.0,546.0,1.0,0.0,1.0,1.0,1,0,81,2.0,1.0,58,2.0
1,15000.0,137000.0,1419.0,3.0,0.0,2.0,3.0,1,1,125,1.0,0.0,103,6.0
1,0.0,65000.0,654.0,1.0,1.0,3.0,2.0,1,0,84,0.0,0.0,65,3.0
1,0.0,350000.0,2772.0,2.0,2.0,1.0,5.0,1,0,30,2.0,1.0,54,7.0
1,0.0,440000.0,5304.0,3.0,3.0,1.0,9.0,1,0,299,4.0,1.0,108,12.0
1,0.0,57000.0,640.0,1.0,0.0,1.0,1.0,2,0,42,2.0,1.0,58,2.0
1,0.0,230000.0,1728.0,2.0,2.0,1.0,5.0,2,0,210,3.0,1.0,101,7.0
1,19901.0,350000.0,3804.0,3.0,0.0,1.0,9.0,2,0,146,3.0,0.0,102,12.0
1,0.0,280000.0,1680.0,2.0,1.0,1.0,4.0,2,0,94,4.0,1.0,93,6.0
1,0.0,370000.0,2970.0,3.0,3.0,1.0,6.0,2,0,79,3.0,1.0,101,9.0
1,0.0,1200000.0,32106.0,0.0,0.0,1.0,0.0,1,0,270,1.0,0.0,103,0.0
